"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"133","1.153888","192.168.2.2","192.168.1.2","TCP","66","167936","5001  >  45814 [ACK] Seq=1 Ack=140457 Win=167936 Len=0 TSval=2324608609 TSecr=791236332"
"135","1.178106","192.168.2.2","192.168.1.2","TCP","66","173568","5001  >  45814 [ACK] Seq=1 Ack=143353 Win=173568 Len=0 TSval=2324608633 TSecr=791236332"
"137","1.202571","192.168.2.2","192.168.1.2","TCP","66","179712","5001  >  45814 [ACK] Seq=1 Ack=146249 Win=179712 Len=0 TSval=2324608658 TSecr=791236332"
"139","1.226986","192.168.2.2","192.168.1.2","TCP","66","185344","5001  >  45814 [ACK] Seq=1 Ack=149145 Win=185344 Len=0 TSval=2324608682 TSecr=791236356"
"141","1.250756","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=152041 Win=187904 Len=0 TSval=2324608706 TSecr=791236356"
"143","1.275029","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=154937 Win=187904 Len=0 TSval=2324608730 TSecr=791236356"
"146","1.299532","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=157833 Win=187904 Len=0 TSval=2324608755 TSecr=791236381"
"150","1.323413","192.168.2.2","192.168.1.2","TCP","66","188928","5001  >  45814 [ACK] Seq=1 Ack=159281 Win=188928 Len=0 TSval=2324608778 TSecr=791236381"
"152","1.335560","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=162177 Win=187904 Len=0 TSval=2324608791 TSecr=791236381"
"154","1.360299","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=165073 Win=187904 Len=0 TSval=2324608815 TSecr=791236405"
"156","1.383978","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=167969 Win=187904 Len=0 TSval=2324608839 TSecr=791236405"
"158","1.408381","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=170865 Win=187904 Len=0 TSval=2324608863 TSecr=791236417"
"160","1.432856","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=173761 Win=187904 Len=0 TSval=2324608888 TSecr=791236417"
"163","1.456683","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=176657 Win=187904 Len=0 TSval=2324608912 TSecr=791236417"
"165","1.480911","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=179553 Win=187904 Len=0 TSval=2324608936 TSecr=791236442"
"167","1.517217","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=183897 Win=187904 Len=0 TSval=2324608972 TSecr=791236442"
"169","1.541574","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=186793 Win=187904 Len=0 TSval=2324608996 TSecr=791236490"
"172","1.577861","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=191137 Win=187904 Len=0 TSval=2324609033 TSecr=791236507"
"174","1.602017","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=194033 Win=187904 Len=0 TSval=2324609057 TSecr=791236544"
"176","1.626840","192.168.2.2","192.168.1.2","TCP","66","187904","5001  >  45814 [ACK] Seq=1 Ack=196929 Win=187904 Len=0 TSval=2324609082 TSecr=791236567"
