"No.","Time","Source","Destination","Protocol","Length","Calculated window size","Info"
"170","1.773135","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=215753 Win=42496 Len=0 TSval=2037470609 TSecr=1373729680"
"172","1.809894","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=220097 Win=42496 Len=0 TSval=2037470646 TSecr=1373729680"
"175","1.834414","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=222993 Win=42496 Len=0 TSval=2037470670 TSecr=1373729729"
"177","1.857935","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=225889 Win=42496 Len=0 TSval=2037470694 TSecr=1373729754"
"179","1.882453","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=228785 Win=42496 Len=0 TSval=2037470718 TSecr=1373729778"
"181","1.906925","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=231681 Win=42496 Len=0 TSval=2037470743 TSecr=1373729815"
"183","1.930588","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=234577 Win=42496 Len=0 TSval=2037470766 TSecr=1373729815"
"185","1.954855","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=237473 Win=42496 Len=0 TSval=2037470790 TSecr=1373729839"
"188","1.991202","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=241817 Win=42496 Len=0 TSval=2037470827 TSecr=1373729863"
"190","2.015689","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=244713 Win=42496 Len=0 TSval=2037470851 TSecr=1373729912"
"195","2.040209","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=247609 Win=42496 Len=0 TSval=2037470876 TSecr=1373729935"
"197","2.064727","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=250505 Win=42496 Len=0 TSval=2037470900 TSecr=1373729960"
"199","2.100172","192.168.2.2","192.168.1.2","TCP","66","42496","5001  >  44570 [ACK] Seq=1 Ack=254849 Win=42496 Len=0 TSval=2037470936 TSecr=1373729982"
"202","2.124477","192.168.2.2","192.168.1.2","TCP","66","48128","5001  >  44570 [ACK] Seq=1 Ack=257745 Win=48128 Len=0 TSval=2037470960 TSecr=1373730020"
"205","2.149358","192.168.2.2","192.168.1.2","TCP","66","54272","5001  >  44570 [ACK] Seq=1 Ack=260641 Win=54272 Len=0 TSval=2037470985 TSecr=1373730045"
"207","2.173615","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=263537 Win=54784 Len=0 TSval=2037471009 TSecr=1373730069"
"209","2.197983","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=266433 Win=54784 Len=0 TSval=2037471033 TSecr=1373730105"
"211","2.222055","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=269329 Win=54784 Len=0 TSval=2037471058 TSecr=1373730105"
"213","2.246984","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=272225 Win=54784 Len=0 TSval=2037471082 TSecr=1373730129"
"215","2.270492","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=275121 Win=54784 Len=0 TSval=2037471106 TSecr=1373730154"
"217","2.295025","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=278017 Win=54784 Len=0 TSval=2037471130 TSecr=1373730178"
"219","2.319516","192.168.2.2","192.168.1.2","TCP","66","54784","5001  >  44570 [ACK] Seq=1 Ack=280913 Win=54784 Len=0 TSval=2037471155 TSecr=1373730203"
"221","2.343164","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=282361 Win=55296 Len=0 TSval=2037471179 TSecr=1373730227"
"223","2.355787","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=285257 Win=55296 Len=0 TSval=2037471191 TSecr=1373730252"
"225","2.379526","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=288153 Win=55296 Len=0 TSval=2037471215 TSecr=1373730275"
"228","2.403835","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=291049 Win=55296 Len=0 TSval=2037471239 TSecr=1373730300"
"230","2.428300","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=293945 Win=55296 Len=0 TSval=2037471264 TSecr=1373730324"
"232","2.452204","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=296841 Win=55296 Len=0 TSval=2037471288 TSecr=1373730348"
"234","2.476431","192.168.2.2","192.168.1.2","TCP","66","55296","5001  >  44570 [ACK] Seq=1 Ack=299737 Win=55296 Len=0 TSval=2037471312 TSecr=1373730360"
"237","2.500802","192.168.2.2","192.168.1.2","TCP","66","57344","5001  >  44570 [ACK] Seq=1 Ack=302633 Win=57344 Len=0 TSval=2037471336 TSecr=1373730384"
"239","2.525339","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=304081 Win=58368 Len=0 TSval=2037471361 TSecr=1373730384"
"241","2.537129","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=306977 Win=58368 Len=0 TSval=2037471372 TSecr=1373730408"
"243","2.561707","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=309873 Win=58368 Len=0 TSval=2037471397 TSecr=1373730433"
"245","2.585422","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=312769 Win=58368 Len=0 TSval=2037471421 TSecr=1373730457"
"247","2.609724","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=315665 Win=58368 Len=0 TSval=2037471445 TSecr=1373730481"
"249","2.634115","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=318561 Win=58368 Len=0 TSval=2037471469 TSecr=1373730505"
"251","2.670352","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=322905 Win=58368 Len=0 TSval=2037471506 TSecr=1373730530"
"254","2.694439","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=325801 Win=58368 Len=0 TSval=2037471530 TSecr=1373730566"
"256","2.718673","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=328697 Win=58368 Len=0 TSval=2037471554 TSecr=1373730590"
"258","2.755683","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=333041 Win=58368 Len=0 TSval=2037471591 TSecr=1373730614"
"260","2.779240","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=335937 Win=58368 Len=0 TSval=2037471614 TSecr=1373730675"
"262","2.803667","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=338833 Win=58368 Len=0 TSval=2037471639 TSecr=1373730675"
"264","2.827660","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=341729 Win=58368 Len=0 TSval=2037471663 TSecr=1373730699"
"267","2.851901","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=344625 Win=58368 Len=0 TSval=2037471687 TSecr=1373730723"
"269","2.876200","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=347521 Win=58368 Len=0 TSval=2037471711 TSecr=1373730760"
"271","2.900337","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=350417 Win=58368 Len=0 TSval=2037471735 TSecr=1373730784"
"273","2.925196","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=353313 Win=58368 Len=0 TSval=2037471760 TSecr=1373730808"
"275","2.949699","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=356209 Win=58368 Len=0 TSval=2037471785 TSecr=1373730832"
"277","2.985119","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=360553 Win=58368 Len=0 TSval=2037471820 TSecr=1373730832"
"281","3.009502","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=363449 Win=58368 Len=0 TSval=2037471845 TSecr=1373730880"
"284","3.033970","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=366345 Win=58368 Len=0 TSval=2037471869 TSecr=1373730905"
"286","3.058483","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=369241 Win=58368 Len=0 TSval=2037471894 TSecr=1373730929"
"289","3.082016","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=372137 Win=58368 Len=0 TSval=2037471917 TSecr=1373730954"
"291","3.106285","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=375033 Win=58368 Len=0 TSval=2037471941 TSecr=1373730989"
"293","3.142755","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=379377 Win=58368 Len=0 TSval=2037471978 TSecr=1373730990"
"296","3.167563","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=382273 Win=58368 Len=0 TSval=2037472003 TSecr=1373731038"
"298","3.191824","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=385169 Win=58368 Len=0 TSval=2037472027 TSecr=1373731063"
"300","3.228137","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=389513 Win=58368 Len=0 TSval=2037472063 TSecr=1373731063"
"303","3.252380","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=392409 Win=58368 Len=0 TSval=2037472087 TSecr=1373731110"
"305","3.277038","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=395305 Win=58368 Len=0 TSval=2037472112 TSecr=1373731147"
"307","3.301542","192.168.2.2","192.168.1.2","TCP","66","58368","5001  >  44570 [ACK] Seq=1 Ack=398201 Win=58368 Len=0 TSval=2037472136 TSecr=1373731172"
"309","3.325018","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=401097 Win=60416 Len=0 TSval=2037472160 TSecr=1373731196"
"311","3.349538","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=403993 Win=60416 Len=0 TSval=2037472184 TSecr=1373731232"
"313","3.374046","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=406889 Win=60416 Len=0 TSval=2037472209 TSecr=1373731232"
"315","3.397711","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=409785 Win=60416 Len=0 TSval=2037472233 TSecr=1373731256"
"317","3.422031","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=412681 Win=60416 Len=0 TSval=2037472257 TSecr=1373731281"
"319","3.446186","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=415577 Win=60416 Len=0 TSval=2037472281 TSecr=1373731306"
"321","3.471151","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=418473 Win=60416 Len=0 TSval=2037472306 TSecr=1373731329"
"323","3.494586","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=421369 Win=60416 Len=0 TSval=2037472329 TSecr=1373731354"
"325","3.519137","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=424265 Win=60416 Len=0 TSval=2037472354 TSecr=1373731378"
"327","3.543589","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=427161 Win=60416 Len=0 TSval=2037472378 TSecr=1373731402"
"329","3.567279","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=430057 Win=60416 Len=0 TSval=2037472402 TSecr=1373731426"
"331","3.591584","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=432953 Win=60416 Len=0 TSval=2037472426 TSecr=1373731450"
"333","3.615710","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=435849 Win=60416 Len=0 TSval=2037472450 TSecr=1373731475"
"335","3.639950","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=438745 Win=60416 Len=0 TSval=2037472475 TSecr=1373731499"
"337","3.664186","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=441641 Win=60416 Len=0 TSval=2037472499 TSecr=1373731523"
"339","3.688625","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=444537 Win=60416 Len=0 TSval=2037472523 TSecr=1373731548"
"341","3.713140","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=447433 Win=60416 Len=0 TSval=2037472548 TSecr=1373731571"
"343","3.736839","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=450329 Win=60416 Len=0 TSval=2037472572 TSecr=1373731595"
"345","3.761152","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=453225 Win=60416 Len=0 TSval=2037472596 TSecr=1373731620"
"347","3.787196","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=456121 Win=60416 Len=0 TSval=2037472622 TSecr=1373731644"
"349","3.809513","192.168.2.2","192.168.1.2","TCP","66","60416","5001  >  44570 [ACK] Seq=1 Ack=459017 Win=60416 Len=0 TSval=2037472644 TSecr=1373731668"
