"No.","Time","Source","Destination","Protocol","Length","Window size scaling factor","Calculated window size","Info"
"30854","36.267279","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412197817 Win=360960 Len=0 TSval=3824132589 TSecr=3459242283"
"30856","36.269888","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412229673 Win=360960 Len=0 TSval=3824132591 TSecr=3459242283"
"30859","36.272605","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412262977 Win=360960 Len=0 TSval=3824132594 TSecr=3459242289"
"30861","36.275345","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412294833 Win=360960 Len=0 TSval=3824132597 TSecr=3459242289"
"30864","36.278284","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412331033 Win=360960 Len=0 TSval=3824132600 TSecr=3459242292"
"30866","36.281243","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412361441 Win=360960 Len=0 TSval=3824132603 TSecr=3459242295"
"30868","36.284298","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412396193 Win=360960 Len=0 TSval=3824132606 TSecr=3459242295"
"30870","36.287138","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412426601 Win=360960 Len=0 TSval=3824132608 TSecr=3459242301"
"30872","36.290058","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412461353 Win=360960 Len=0 TSval=3824132611 TSecr=3459242301"
"30874","36.292967","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412491761 Win=360960 Len=0 TSval=3824132614 TSecr=3459242306"
"30876","36.295405","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412523617 Win=360960 Len=0 TSval=3824132617 TSecr=3459242309"
"30878","36.298086","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412555473 Win=360960 Len=0 TSval=3824132619 TSecr=3459242309"
"30881","36.300851","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412588777 Win=360960 Len=0 TSval=3824132622 TSecr=3459242317"
"30883","36.303779","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412620633 Win=360960 Len=0 TSval=3824132625 TSecr=3459242317"
"30886","36.306426","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412655385 Win=360960 Len=0 TSval=3824132628 TSecr=3459242320"
"30888","36.309237","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412687241 Win=360960 Len=0 TSval=3824132631 TSecr=3459242323"
"30890","36.312578","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412720545 Win=360960 Len=0 TSval=3824132634 TSecr=3459242326"
"30892","36.315525","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412752401 Win=360960 Len=0 TSval=3824132637 TSecr=3459242329"
"30894","36.318460","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412785705 Win=360960 Len=0 TSval=3824132640 TSecr=3459242329"
"30896","36.321159","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412817561 Win=360960 Len=0 TSval=3824132642 TSecr=3459242335"
"30898","36.323798","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412850865 Win=360960 Len=0 TSval=3824132645 TSecr=3459242335"
"30900","36.326606","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412881273 Win=360960 Len=0 TSval=3824132648 TSecr=3459242340"
"30903","36.329262","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412914577 Win=360960 Len=0 TSval=3824132651 TSecr=3459242343"
"30905","36.332210","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412944985 Win=360960 Len=0 TSval=3824132653 TSecr=3459242346"
"30908","36.334729","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412947881 Win=360960 Len=0 TSval=3824132656 TSecr=3459242349"
"30910","36.334902","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=412978289 Win=360960 Len=0 TSval=3824132656 TSecr=3459242351"
"30912","36.338061","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413008697 Win=360960 Len=0 TSval=3824132659 TSecr=3459242351"
"30914","36.341023","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413013041 Win=360960 Len=0 TSval=3824132662 TSecr=3459242354"
"30916","36.341285","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413044897 Win=360960 Len=0 TSval=3824132663 TSecr=3459242354"
"30918","36.347943","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413076753 Win=360960 Len=0 TSval=3824132669 TSecr=3459242357"
"30921","36.350275","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413111505 Win=360960 Len=0 TSval=3824132672 TSecr=3459242361"
"30923","36.353076","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413143361 Win=360960 Len=0 TSval=3824132674 TSecr=3459242367"
"30925","36.356181","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413173769 Win=360960 Len=0 TSval=3824132677 TSecr=3459242369"
"30928","36.358624","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413176665 Win=360960 Len=0 TSval=3824132680 TSecr=3459242375"
"30929","36.358848","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413207073 Win=360960 Len=0 TSval=3824132680 TSecr=3459242375"
"30932","36.361633","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413238929 Win=360960 Len=0 TSval=3824132683 TSecr=3459242378"
"30934","36.364531","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413269337 Win=360960 Len=0 TSval=3824132686 TSecr=3459242378"
"30936","36.367440","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413273681 Win=360960 Len=0 TSval=3824132689 TSecr=3459242381"
"30938","36.367691","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413308433 Win=360960 Len=0 TSval=3824132689 TSecr=3459242381"
"30940","36.370615","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413338841 Win=360960 Len=0 TSval=3824132692 TSecr=3459242384"
"30942","36.373172","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413375041 Win=360960 Len=0 TSval=3824132694 TSecr=3459242384"
"30944","36.376269","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413404001 Win=360960 Len=0 TSval=3824132698 TSecr=3459242390"
"30946","36.378644","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413438753 Win=360960 Len=0 TSval=3824132700 TSecr=3459242390"
"30948","36.381543","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413469161 Win=360960 Len=0 TSval=3824132703 TSecr=3459242396"
"30950","36.384093","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413501017 Win=360960 Len=0 TSval=3824132705 TSecr=3459242398"
"30952","36.387068","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413534321 Win=360960 Len=0 TSval=3824132708 TSecr=3459242398"
"30954","36.389747","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413566177 Win=360960 Len=0 TSval=3824132711 TSecr=3459242403"
"30957","36.392525","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413598033 Win=360960 Len=0 TSval=3824132714 TSecr=3459242409"
"30960","36.395192","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413631337 Win=360960 Len=0 TSval=3824132716 TSecr=3459242412"
"30962","36.397901","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413663193 Win=360960 Len=0 TSval=3824132719 TSecr=3459242412"
"30965","36.400812","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413697945 Win=360960 Len=0 TSval=3824132722 TSecr=3459242414"
"30967","36.403709","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413729801 Win=360960 Len=0 TSval=3824132725 TSecr=3459242417"
"30969","36.406630","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413766001 Win=360960 Len=0 TSval=3824132728 TSecr=3459242417"
"30971","36.409610","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413794961 Win=360960 Len=0 TSval=3824132731 TSecr=3459242423"
"30973","36.412507","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413831161 Win=360960 Len=0 TSval=3824132734 TSecr=3459242423"
"30975","36.415433","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413860121 Win=360960 Len=0 TSval=3824132737 TSecr=3459242429"
"30977","36.418380","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413893425 Win=360960 Len=0 TSval=3824132740 TSecr=3459242429"
"30979","36.421331","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413925281 Win=360960 Len=0 TSval=3824132743 TSecr=3459242432"
"30981","36.423894","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413955689 Win=360960 Len=0 TSval=3824132745 TSecr=3459242438"
"30983","36.426401","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413958585 Win=360960 Len=0 TSval=3824132748 TSecr=3459242443"
"30985","36.426651","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413987545 Win=360960 Len=0 TSval=3824132748 TSecr=3459242443"
"30987","36.429143","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=413990441 Win=360960 Len=0 TSval=3824132750 TSecr=3459242446"
"30989","36.429315","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414022297 Win=360960 Len=0 TSval=3824132751 TSecr=3459242446"
"30991","36.432086","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414054153 Win=360960 Len=0 TSval=3824132753 TSecr=3459242446"
"30994","36.435035","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414091801 Win=360960 Len=0 TSval=3824132756 TSecr=3459242449"
"30996","36.438088","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414120761 Win=360960 Len=0 TSval=3824132759 TSecr=3459242451"
"30998","36.440506","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414159857 Win=360960 Len=0 TSval=3824132762 TSecr=3459242451"
"31000","36.443866","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414185921 Win=360960 Len=0 TSval=3824132765 TSecr=3459242457"
"31002","36.445946","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414223569 Win=360960 Len=0 TSval=3824132767 TSecr=3459242457"
"31004","36.449082","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414251081 Win=360960 Len=0 TSval=3824132770 TSecr=3459242463"
"31006","36.451673","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414285833 Win=360960 Len=0 TSval=3824132773 TSecr=3459242463"
"31008","36.454622","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414316241 Win=360960 Len=0 TSval=3824132776 TSecr=3459242468"
"31010","36.457553","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414349545 Win=360960 Len=0 TSval=3824132779 TSecr=3459242468"
"31012","36.460537","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414381401 Win=360960 Len=0 TSval=3824132782 TSecr=3459242474"
"31014","36.463455","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414413257 Win=360960 Len=0 TSval=3824132785 TSecr=3459242477"
"31016","36.466402","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414443665 Win=360960 Len=0 TSval=3824132788 TSecr=3459242480"
"31019","36.469321","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414446561 Win=360960 Len=0 TSval=3824132791 TSecr=3459242483"
"31021","36.469469","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414478417 Win=360960 Len=0 TSval=3824132791 TSecr=3459242486"
"31023","36.472243","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414510273 Win=360960 Len=0 TSval=3824132794 TSecr=3459242486"
"31026","36.474908","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414545025 Win=360960 Len=0 TSval=3824132796 TSecr=3459242489"
"31028","36.478133","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414576881 Win=360960 Len=0 TSval=3824132799 TSecr=3459242492"
"31030","36.481107","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414610185 Win=360960 Len=0 TSval=3824132802 TSecr=3459242494"
"31032","36.484019","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414642041 Win=360960 Len=0 TSval=3824132805 TSecr=3459242497"
"31034","36.486939","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414676793 Win=360960 Len=0 TSval=3824132808 TSecr=3459242497"
"31036","36.489906","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414707201 Win=360960 Len=0 TSval=3824132811 TSecr=3459242503"
"31038","36.492329","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414740505 Win=360960 Len=0 TSval=3824132814 TSecr=3459242503"
"31040","36.495142","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414772361 Win=360960 Len=0 TSval=3824132816 TSecr=3459242509"
"31042","36.497772","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414804217 Win=360960 Len=0 TSval=3824132819 TSecr=3459242512"
"31044","36.500461","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414834625 Win=360960 Len=0 TSval=3824132822 TSecr=3459242514"
"31047","36.503104","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414837521 Win=360960 Len=0 TSval=3824132824 TSecr=3459242517"
"31049","36.503607","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414869377 Win=360960 Len=0 TSval=3824132825 TSecr=3459242520"
"31051","36.506541","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414901233 Win=360960 Len=0 TSval=3824132828 TSecr=3459242520"
"31054","36.509487","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414935985 Win=360960 Len=0 TSval=3824132831 TSecr=3459242523"
"31056","36.512404","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=414967841 Win=360960 Len=0 TSval=3824132834 TSecr=3459242526"
"31058","36.515345","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415002593 Win=360960 Len=0 TSval=3824132837 TSecr=3459242526"
"31060","36.518290","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415033001 Win=360960 Len=0 TSval=3824132840 TSecr=3459242532"
"31062","36.521246","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415067753 Win=360960 Len=0 TSval=3824132843 TSecr=3459242532"
"31064","36.524034","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415098161 Win=360960 Len=0 TSval=3824132845 TSecr=3459242538"
"31066","36.526580","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415130017 Win=360960 Len=0 TSval=3824132848 TSecr=3459242541"
"31068","36.529276","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415161873 Win=360960 Len=0 TSval=3824132851 TSecr=3459242541"
"31071","36.532063","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415195177 Win=360960 Len=0 TSval=3824132853 TSecr=3459242549"
"31073","36.534680","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415227033 Win=360960 Len=0 TSval=3824132856 TSecr=3459242549"
"31076","36.537483","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415260337 Win=360960 Len=0 TSval=3824132859 TSecr=3459242551"
"31078","36.540180","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415292193 Win=360960 Len=0 TSval=3824132861 TSecr=3459242554"
"31081","36.542926","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415326945 Win=360960 Len=0 TSval=3824132864 TSecr=3459242557"
"31083","36.545721","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415358801 Win=360960 Len=0 TSval=3824132867 TSecr=3459242559"
"31085","36.548663","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415392105 Win=360960 Len=0 TSval=3824132870 TSecr=3459242562"
"31087","36.551375","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415423961 Win=360960 Len=0 TSval=3824132873 TSecr=3459242565"
"31089","36.553989","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415457265 Win=360960 Len=0 TSval=3824132875 TSecr=3459242565"
"31091","36.556801","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415489121 Win=360960 Len=0 TSval=3824132878 TSecr=3459242571"
"31093","36.559966","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415522425 Win=360960 Len=0 TSval=3824132881 TSecr=3459242571"
"31095","36.562870","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415554281 Win=360960 Len=0 TSval=3824132884 TSecr=3459242576"
"31097","36.565436","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415586137 Win=360960 Len=0 TSval=3824132887 TSecr=3459242579"
"31099","36.568105","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415619441 Win=360960 Len=0 TSval=3824132889 TSecr=3459242579"
"31101","36.571711","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415649849 Win=360960 Len=0 TSval=3824132893 TSecr=3459242585"
"31103","36.574128","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415652745 Win=360960 Len=0 TSval=3824132895 TSecr=3459242587"
"31105","36.574364","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415684601 Win=360960 Len=0 TSval=3824132896 TSecr=3459242587"
"31107","36.577578","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415715009 Win=360960 Len=0 TSval=3824132899 TSecr=3459242591"
"31110","36.580537","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415746865 Win=360960 Len=0 TSval=3824132902 TSecr=3459242597"
"31112","36.583439","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415749761 Win=360960 Len=0 TSval=3824132905 TSecr=3459242600"
"31114","36.583576","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415780169 Win=360960 Len=0 TSval=3824132905 TSecr=3459242600"
"31116","36.586142","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415810577 Win=360960 Len=0 TSval=3824132907 TSecr=3459242600"
"31118","36.588672","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415814921 Win=360960 Len=0 TSval=3824132910 TSecr=3459242603"
"31120","36.589042","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415851121 Win=360960 Len=0 TSval=3824132910 TSecr=3459242603"
"31122","36.592355","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415880081 Win=360960 Len=0 TSval=3824132914 TSecr=3459242605"
"31124","36.595193","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415917729 Win=360960 Len=0 TSval=3824132916 TSecr=3459242605"
"31126","36.598250","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415945241 Win=360960 Len=0 TSval=3824132920 TSecr=3459242612"
"31128","36.601149","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=415982889 Win=360960 Len=0 TSval=3824132922 TSecr=3459242612"
"31130","36.604196","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416010401 Win=360960 Len=0 TSval=3824132925 TSecr=3459242618"
"31132","36.606514","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416043705 Win=360960 Len=0 TSval=3824132928 TSecr=3459242618"
"31134","36.609637","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416075561 Win=360960 Len=0 TSval=3824132931 TSecr=3459242620"
"31136","36.612179","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416107417 Win=360960 Len=0 TSval=3824132933 TSecr=3459242626"
"31139","36.614973","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416137825 Win=360960 Len=0 TSval=3824132936 TSecr=3459242631"
"31141","36.617716","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416140721 Win=360960 Len=0 TSval=3824132939 TSecr=3459242634"
"31143","36.617858","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416169681 Win=360960 Len=0 TSval=3824132939 TSecr=3459242634"
"31145","36.620704","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416198641 Win=360960 Len=0 TSval=3824132942 TSecr=3459242634"
"31147","36.623608","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416205881 Win=360960 Len=0 TSval=3824132945 TSecr=3459242637"
"31149","36.624109","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416239185 Win=360960 Len=0 TSval=3824132945 TSecr=3459242637"
"31151","36.626910","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416271041 Win=360960 Len=0 TSval=3824132948 TSecr=3459242640"
"31153","36.629593","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416307241 Win=360960 Len=0 TSval=3824132951 TSecr=3459242643"
"31155","36.632600","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416336201 Win=360960 Len=0 TSval=3824132954 TSecr=3459242646"
"31157","36.635361","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416370953 Win=360960 Len=0 TSval=3824132957 TSecr=3459242646"
"31159","36.638309","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416401361 Win=360960 Len=0 TSval=3824132960 TSecr=3459242652"
"31161","36.641274","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416436113 Win=360960 Len=0 TSval=3824132963 TSecr=3459242652"
"31163","36.644196","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416466521 Win=360960 Len=0 TSval=3824132965 TSecr=3459242658"
"31165","36.646621","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416498377 Win=360960 Len=0 TSval=3824132968 TSecr=3459242661"
"31167","36.649317","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416530233 Win=360960 Len=0 TSval=3824132971 TSecr=3459242661"
"31170","36.652450","192.168.2.2","192.168.1.2","TCP","66","512","360960","5001  >  43962 [ACK] Seq=1 Ack=416563537 Win=360960 Len=0 TSval=3824132974 TSecr=3459242669"
