"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"457","359.485908483","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"459","359.497664068","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"461","359.509556695","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"463","359.521676648","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"465","359.533899475","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"467","359.545905386","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"469","359.558358773","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"471","359.570123092","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"473","359.582888712","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"475","359.594613388","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"477","359.606455001","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"479","359.618582940","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"481","359.630841843","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"483","359.642776752","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"486","359.661254555","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"488","359.673079216","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"490","359.685693575","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"492","359.697492008","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"494","359.709419243","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"496","359.721987894","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"498","359.733736703","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"500","359.745753254","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"502","359.758218725","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"504","359.769991780","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"506","359.782706326","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"508","359.794460685","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"510","359.806318118","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"512","359.818971892","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"514","359.830672571","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"516","359.842969037","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"518","359.854781163","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"520","359.867476332","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"522","359.879227406","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"524","359.891085211","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"526","359.903718224","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"528","359.915465250","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"531","359.934041928","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"533","359.945859306","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"535","359.958565125","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"537","359.970302206","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"539","359.982072013","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"541","359.994037658","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"543","360.006543284","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"545","360.018286604","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"547","360.031033189","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"549","360.042751512","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"551","360.054628322","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"553","360.067326486","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"555","360.079054296","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"557","360.091808808","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"559","360.103550063","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"561","360.115271471","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"563","360.127289224","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"565","360.139842808","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"567","360.151513533","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"569","360.163642194","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"571","360.176008408","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
"573","360.187846325","192.168.2.2","192.168.1.2","TCP","66","1163","595456"
