"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"231","6.206417059","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"233","6.218532019","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"235","6.231000311","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"237","6.242801402","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"239","6.254965735","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"241","6.267709476","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"243","6.279477122","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"245","6.291224462","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"247","6.304039765","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"249","6.315712776","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"251","6.327562258","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"253","6.339695392","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"255","6.351976844","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"257","6.364722148","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"259","6.376452394","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"261","6.388205125","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"263","6.400886856","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"266","6.418717850","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"268","6.430532619","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"270","6.442612921","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"272","6.454817910","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"274","6.467490136","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"276","6.479244370","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"278","6.491042646","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"280","6.503165320","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"282","6.515508047","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"284","6.527387826","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"286","6.540034552","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"288","6.551760132","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"290","6.563695343","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"292","6.575831775","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"294","6.588009462","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"296","6.600698566","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"298","6.612517964","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"300","6.625277072","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"302","6.637096828","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"304","6.655153620","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"306","6.660683762","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"308","6.672714404","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"311","6.690954225","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"313","6.703077891","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"315","6.715345497","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"317","6.727226601","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"319","6.739359562","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"321","6.751609071","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"323","6.764347507","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"325","6.776099137","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"327","6.787819965","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"329","6.800352775","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"331","6.812115965","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"333","6.824110780","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"335","6.837276211","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"337","6.848337814","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
"339","6.860497771","192.168.2.2","192.168.1.2","TCP","66","1015","519680"
