"No.","Time","Source","Destination","Protocol","Length","Window size value","Calculated window size"
"240","1.512010979","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"242","1.524175311","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"244","1.536524430","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"246","1.548331683","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"248","1.561170736","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"250","1.572777914","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"252","1.584680246","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"255","1.603124182","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"257","1.615843574","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"259","1.627357968","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"261","1.639358482","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"263","1.651544267","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"265","1.663398939","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"267","1.675623761","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"269","1.688128503","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"271","1.699898628","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"274","1.717896195","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"276","1.730122291","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"278","1.742137426","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"280","1.754885953","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"282","1.766346937","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"284","1.778452800","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"286","1.790595301","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"288","1.802732340","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"290","1.814806756","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"293","1.832961107","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"295","1.845070206","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"297","1.857696133","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"299","1.869297210","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"301","1.881420114","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"303","1.893537574","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"305","1.905736656","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"307","1.917966221","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"309","1.929856079","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"312","1.948713577","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"314","1.960134861","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"316","1.972381131","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"318","1.985116816","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"320","1.996486683","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"322","2.009124569","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"324","2.020698458","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"326","2.033635745","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"328","2.045040645","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"331","2.063087464","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"333","2.075645423","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"335","2.087527727","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"337","2.099515457","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"339","2.112195115","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"341","2.123821782","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"343","2.136503328","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"345","2.157230387","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"347","2.163064854","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"350","2.181032965","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"352","2.193274472","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"354","2.206003283","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"356","2.217366413","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"358","2.229581501","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"360","2.242239799","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"362","2.254051791","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"364","2.266869274","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"366","2.278553118","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"369","2.296187024","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"371","2.308216053","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"373","2.320338056","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"375","2.332466725","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"377","2.345156228","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"379","2.357071713","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"381","2.373066216","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"383","2.381399587","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"385","2.393129716","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"388","2.411737857","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"390","2.423512018","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"392","2.436269322","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"394","2.448013226","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"396","2.459856056","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"398","2.471767574","192.168.2.2","192.168.1.2","TCP","66","107","54784"
"400","2.484270295","192.168.2.2","192.168.1.2","TCP","66","107","54784"
