No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
153,1.418592,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=170865 Win=187904 Len=0 TSval=2326340817 TSecr=1377380111
155,1.43262,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=173761 Win=187904 Len=0 TSval=2326340831 TSecr=1377380111
158,1.456557,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=176657 Win=187904 Len=0 TSval=2326340855 TSecr=1377380111
160,1.48079,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=179553 Win=187904 Len=0 TSval=2326340880 TSecr=1377380136
162,1.517115,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=183897 Win=187904 Len=0 TSval=2326340916 TSecr=1377380136
164,1.541383,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=186793 Win=187904 Len=0 TSval=2326340940 TSecr=1377380185
167,1.577696,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=191137 Win=187904 Len=0 TSval=2326340976 TSecr=1377380201
169,1.602104,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=194033 Win=187904 Len=0 TSval=2326341001 TSecr=1377380238
171,1.626164,192.168.2.2,192.168.1.2,TCP,66,187904,5001  >  53342 [ACK] Seq=1 Ack=196929 Win=187904 Len=0 TSval=2326341025 TSecr=1377380262
173,1.662892,192.168.2.2,192.168.1.2,TCP,66,194560,5001  >  53342 [ACK] Seq=1 Ack=201273 Win=194560 Len=0 TSval=2326341062 TSecr=1377380286
177,1.687355,192.168.2.2,192.168.1.2,TCP,66,197632,5001  >  53342 [ACK] Seq=1 Ack=202721 Win=197632 Len=0 TSval=2326341086 TSecr=1377380319
179,1.699099,192.168.2.2,192.168.1.2,TCP,66,203264,5001  >  53342 [ACK] Seq=1 Ack=205617 Win=203264 Len=0 TSval=2326341098 TSecr=1377380343
182,1.723811,192.168.2.2,192.168.1.2,TCP,66,208896,5001  >  53342 [ACK] Seq=1 Ack=208513 Win=208896 Len=0 TSval=2326341123 TSecr=1377380367
186,1.748213,192.168.2.2,192.168.1.2,TCP,66,215040,5001  >  53342 [ACK] Seq=1 Ack=211409 Win=215040 Len=0 TSval=2326341147 TSecr=1377380367
188,1.772663,192.168.2.2,192.168.1.2,TCP,66,220672,5001  >  53342 [ACK] Seq=1 Ack=214305 Win=220672 Len=0 TSval=2326341171 TSecr=1377380391
190,1.796492,192.168.2.2,192.168.1.2,TCP,66,226304,5001  >  53342 [ACK] Seq=1 Ack=217201 Win=226304 Len=0 TSval=2326341195 TSecr=1377380415
192,1.820721,192.168.2.2,192.168.1.2,TCP,66,232448,5001  >  53342 [ACK] Seq=1 Ack=220097 Win=232448 Len=0 TSval=2326341219 TSecr=1377380440
194,1.845204,192.168.2.2,192.168.1.2,TCP,66,235008,5001  >  53342 [ACK] Seq=1 Ack=221545 Win=235008 Len=0 TSval=2326341244 TSecr=1377380464
196,1.857859,192.168.2.2,192.168.1.2,TCP,66,241152,5001  >  53342 [ACK] Seq=1 Ack=224441 Win=241152 Len=0 TSval=2326341257 TSecr=1377380476
198,1.881256,192.168.2.2,192.168.1.2,TCP,66,246784,5001  >  53342 [ACK] Seq=1 Ack=227337 Win=246784 Len=0 TSval=2326341280 TSecr=1377380500
200,1.906498,192.168.2.2,192.168.1.2,TCP,66,252416,5001  >  53342 [ACK] Seq=1 Ack=230233 Win=252416 Len=0 TSval=2326341305 TSecr=1377380525
202,1.93004,192.168.2.2,192.168.1.2,TCP,66,258560,5001  >  53342 [ACK] Seq=1 Ack=233129 Win=258560 Len=0 TSval=2326341329 TSecr=1377380549
204,1.954597,192.168.2.2,192.168.1.2,TCP,66,264192,5001  >  53342 [ACK] Seq=1 Ack=236025 Win=264192 Len=0 TSval=2326341353 TSecr=1377380573
207,1.978953,192.168.2.2,192.168.1.2,TCP,66,269824,5001  >  53342 [ACK] Seq=1 Ack=238921 Win=269824 Len=0 TSval=2326341378 TSecr=1377380597
209,2.002424,192.168.2.2,192.168.1.2,TCP,66,275968,5001  >  53342 [ACK] Seq=1 Ack=241817 Win=275968 Len=0 TSval=2326341401 TSecr=1377380621
211,2.026633,192.168.2.2,192.168.1.2,TCP,66,281600,5001  >  53342 [ACK] Seq=1 Ack=244713 Win=281600 Len=0 TSval=2326341425 TSecr=1377380646
214,2.051672,192.168.2.2,192.168.1.2,TCP,66,284160,5001  >  53342 [ACK] Seq=1 Ack=246161 Win=284160 Len=0 TSval=2326341450 TSecr=1377380658
216,2.063263,192.168.2.2,192.168.1.2,TCP,66,290304,5001  >  53342 [ACK] Seq=1 Ack=249057 Win=290304 Len=0 TSval=2326341462 TSecr=1377380682
218,2.087742,192.168.2.2,192.168.1.2,TCP,66,295936,5001  >  53342 [ACK] Seq=1 Ack=251953 Win=295936 Len=0 TSval=2326341486 TSecr=1377380706
220,2.112289,192.168.2.2,192.168.1.2,TCP,66,301568,5001  >  53342 [ACK] Seq=1 Ack=254849 Win=301568 Len=0 TSval=2326341511 TSecr=1377380741
222,2.135628,192.168.2.2,192.168.1.2,TCP,66,307712,5001  >  53342 [ACK] Seq=1 Ack=257745 Win=307712 Len=0 TSval=2326341534 TSecr=1377380755
224,2.160241,192.168.2.2,192.168.1.2,TCP,66,310272,5001  >  53342 [ACK] Seq=1 Ack=259193 Win=310272 Len=0 TSval=2326341559 TSecr=1377380769
226,2.172097,192.168.2.2,192.168.1.2,TCP,66,316416,5001  >  53342 [ACK] Seq=1 Ack=262089 Win=316416 Len=0 TSval=2326341571 TSecr=1377380778
228,2.196571,192.168.2.2,192.168.1.2,TCP,66,322048,5001  >  53342 [ACK] Seq=1 Ack=264985 Win=322048 Len=0 TSval=2326341595 TSecr=1377380803
230,2.22108,192.168.2.2,192.168.1.2,TCP,66,327680,5001  >  53342 [ACK] Seq=1 Ack=267881 Win=327680 Len=0 TSval=2326341620 TSecr=1377380839
232,2.245521,192.168.2.2,192.168.1.2,TCP,66,333824,5001  >  53342 [ACK] Seq=1 Ack=270777 Win=333824 Len=0 TSval=2326341644 TSecr=1377380863
234,2.269037,192.168.2.2,192.168.1.2,TCP,66,339456,5001  >  53342 [ACK] Seq=1 Ack=273673 Win=339456 Len=0 TSval=2326341667 TSecr=1377380863
236,2.294337,192.168.2.2,192.168.1.2,TCP,66,345088,5001  >  53342 [ACK] Seq=1 Ack=276569 Win=345088 Len=0 TSval=2326341693 TSecr=1377380900
238,2.319005,192.168.2.2,192.168.1.2,TCP,66,351232,5001  >  53342 [ACK] Seq=1 Ack=279465 Win=351232 Len=0 TSval=2326341717 TSecr=1377380924
240,2.342807,192.168.2.2,192.168.1.2,TCP,66,356864,5001  >  53342 [ACK] Seq=1 Ack=282361 Win=356864 Len=0 TSval=2326341741 TSecr=1377380948
242,2.367092,192.168.2.2,192.168.1.2,TCP,66,360448,5001  >  53342 [ACK] Seq=1 Ack=285257 Win=360448 Len=0 TSval=2326341765 TSecr=1377380985
245,2.391585,192.168.2.2,192.168.1.2,TCP,66,360448,5001  >  53342 [ACK] Seq=1 Ack=288153 Win=360448 Len=0 TSval=2326341790 TSecr=1377380985
247,2.418126,192.168.2.2,192.168.1.2,TCP,66,360960,5001  >  53342 [ACK] Seq=1 Ack=289601 Win=360960 Len=0 TSval=2326341817 TSecr=1377381009
249,2.427878,192.168.2.2,192.168.1.2,TCP,66,360960,5001  >  53342 [ACK] Seq=1 Ack=292497 Win=360960 Len=0 TSval=2326341826 TSecr=1377381021
251,2.452377,192.168.2.2,192.168.1.2,TCP,66,360960,5001  >  53342 [ACK] Seq=1 Ack=295393 Win=360960 Len=0 TSval=2326341851 TSecr=1377381046
253,2.476427,192.168.2.2,192.168.1.2,TCP,66,360960,5001  >  53342 [ACK] Seq=1 Ack=298289 Win=360960 Len=0 TSval=2326341875 TSecr=1377381070
255,2.500899,192.168.2.2,192.168.1.2,TCP,66,360960,5001  >  53342 [ACK] Seq=1 Ack=301185 Win=360960 Len=0 TSval=2326341899 TSecr=1377381094
