No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
246,8.655467,192.168.2.2,192.168.1.2,TCP,66,1006080,5001  >  53148 [ACK] Seq=1 Ack=1051249 Win=1006080 Len=0 TSval=2325388149 TSecr=1376426278
248,8.800496,192.168.2.2,192.168.1.2,TCP,66,1008640,5001  >  53148 [ACK] Seq=1 Ack=1062833 Win=1008640 Len=0 TSval=2325388294 TSecr=1376426348
251,8.897665,192.168.2.2,192.168.1.2,TCP,66,1011712,5001  >  53148 [ACK] Seq=1 Ack=1068625 Win=1011712 Len=0 TSval=2325388391 TSecr=1376426520
253,8.946223,192.168.2.2,192.168.1.2,TCP,66,1008640,5001  >  53148 [ACK] Seq=1 Ack=1080209 Win=1008640 Len=0 TSval=2325388440 TSecr=1376426568
256,9.043146,192.168.2.2,192.168.1.2,TCP,66,1012736,5001  >  53148 [ACK] Seq=1 Ack=1084553 Win=1012736 Len=0 TSval=2325388536 TSecr=1376426665
258,9.079395,192.168.2.2,192.168.1.2,TCP,66,1008128,5001  >  53148 [ACK] Seq=1 Ack=1097585 Win=1008128 Len=0 TSval=2325388573 TSecr=1376426702
260,9.188381,192.168.2.2,192.168.1.2,TCP,66,1010176,5001  >  53148 [ACK] Seq=1 Ack=1106273 Win=1010176 Len=0 TSval=2325388682 TSecr=1376426860
262,9.261692,192.168.2.2,192.168.1.2,TCP,66,1011200,5001  >  53148 [ACK] Seq=1 Ack=1113513 Win=1011200 Len=0 TSval=2325388755 TSecr=1376426884
264,9.321574,192.168.2.2,192.168.1.2,TCP,66,1008128,5001  >  53148 [ACK] Seq=1 Ack=1126545 Win=1008128 Len=0 TSval=2325388815 TSecr=1376426944
266,9.431268,192.168.2.2,192.168.1.2,TCP,66,1006080,5001  >  53148 [ACK] Seq=1 Ack=1143921 Win=1006080 Len=0 TSval=2325388924 TSecr=1376427053
268,9.575917,192.168.2.2,192.168.1.2,TCP,66,1012736,5001  >  53148 [ACK] Seq=1 Ack=1148265 Win=1012736 Len=0 TSval=2325389069 TSecr=1376427211
270,9.612422,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1149713 Win=1013760 Len=0 TSval=2325389105 TSecr=1376427235
272,9.624838,192.168.2.2,192.168.1.2,TCP,66,1013760,5001  >  53148 [ACK] Seq=1 Ack=1158401 Win=1013760 Len=0 TSval=2325389118 TSecr=1376427248
