No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
154,1.555221,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=189689 Win=185344 Len=0 TSval=551774423 TSecr=456996028
156,1.578685,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=192585 Win=185344 Len=0 TSval=551774446 TSecr=456996064
158,1.61504,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=196929 Win=185344 Len=0 TSval=551774482 TSecr=456996081
160,1.639549,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=199825 Win=185344 Len=0 TSval=551774507 TSecr=456996113
163,1.663431,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=202721 Win=185344 Len=0 TSval=551774531 TSecr=456996138
165,1.68791,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=205617 Win=185344 Len=0 TSval=551774555 TSecr=456996161
167,1.711888,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=208513 Win=185344 Len=0 TSval=551774579 TSecr=456996197
169,1.736123,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=211409 Win=185344 Len=0 TSval=551774603 TSecr=456996222
174,1.760559,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=214305 Win=185344 Len=0 TSval=551774628 TSecr=456996246
176,1.785068,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=217201 Win=185344 Len=0 TSval=551774652 TSecr=456996270
178,1.808756,192.168.2.2,192.168.1.2,TCP,66,185344,5001  >  47996 [ACK] Seq=1 Ack=220097 Win=185344 Len=0 TSval=551774676 TSecr=456996294
