No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
145,1.493652,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=182449 Win=42496 Len=0 TSval=2325276560 TSecr=1376316374
149,1.518144,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=185345 Win=42496 Len=0 TSval=2325276584 TSecr=1376316398
151,1.542168,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=188241 Win=42496 Len=0 TSval=2325276608 TSecr=1376316435
153,1.566458,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=191137 Win=42496 Len=0 TSval=2325276632 TSecr=1376316458
155,1.590199,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=194033 Win=42496 Len=0 TSval=2325276656 TSecr=1376316483
157,1.626504,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=198377 Win=42496 Len=0 TSval=2325276693 TSecr=1376316483
159,1.650707,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=201273 Win=42496 Len=0 TSval=2325276717 TSecr=1376316531
161,1.675505,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=204169 Win=42496 Len=0 TSval=2325276741 TSecr=1376316556
164,1.699165,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=207065 Win=42496 Len=0 TSval=2325276765 TSecr=1376316579
166,1.723419,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=209961 Win=42496 Len=0 TSval=2325276789 TSecr=1376316616
168,1.747938,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=212857 Win=42496 Len=0 TSval=2325276814 TSecr=1376316640
170,1.773113,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=215753 Win=42496 Len=0 TSval=2325276839 TSecr=1376316665
172,1.809713,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=220097 Win=42496 Len=0 TSval=2325276876 TSecr=1376316665
175,1.834292,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=222993 Win=42496 Len=0 TSval=2325276900 TSecr=1376316712
177,1.857974,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=225889 Win=42496 Len=0 TSval=2325276924 TSecr=1376316737
179,1.882229,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=228785 Win=42496 Len=0 TSval=2325276948 TSecr=1376316762
181,1.906754,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=231681 Win=42496 Len=0 TSval=2325276973 TSecr=1376316799
183,1.93056,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=234577 Win=42496 Len=0 TSval=2325276996 TSecr=1376316799
185,1.954795,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=237473 Win=42496 Len=0 TSval=2325277021 TSecr=1376316823
187,1.991178,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=241817 Win=42496 Len=0 TSval=2325277057 TSecr=1376316847
190,2.015507,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=244713 Win=42496 Len=0 TSval=2325277081 TSecr=1376316896
193,2.039602,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=247609 Win=42496 Len=0 TSval=2325277105 TSecr=1376316919
195,2.064553,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=250505 Win=42496 Len=0 TSval=2325277130 TSecr=1376316944
197,2.088115,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=253401 Win=42496 Len=0 TSval=2325277154 TSecr=1376316980
199,2.112627,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=256297 Win=42496 Len=0 TSval=2325277178 TSecr=1376316980
201,2.136746,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=259193 Win=42496 Len=0 TSval=2325277202 TSecr=1376317004
204,2.173836,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=263537 Win=42496 Len=0 TSval=2325277240 TSecr=1376317028
207,2.198393,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=266433 Win=42496 Len=0 TSval=2325277264 TSecr=1376317077
209,2.222069,192.168.2.2,192.168.1.2,TCP,66,42496,5001  >  53142 [ACK] Seq=1 Ack=269329 Win=42496 Len=0 TSval=2325277288 TSecr=1376317101
211,2.24634,192.168.2.2,192.168.1.2,TCP,66,48128,5001  >  53142 [ACK] Seq=1 Ack=272225 Win=48128 Len=0 TSval=2325277312 TSecr=1376317126
213,2.270517,192.168.2.2,192.168.1.2,TCP,66,54272,5001  >  53142 [ACK] Seq=1 Ack=275121 Win=54272 Len=0 TSval=2325277336 TSecr=1376317163
216,2.294958,192.168.2.2,192.168.1.2,TCP,66,54784,5001  >  53142 [ACK] Seq=1 Ack=278017 Win=54784 Len=0 TSval=2325277361 TSecr=1376317163
218,2.318932,192.168.2.2,192.168.1.2,TCP,66,54784,5001  >  53142 [ACK] Seq=1 Ack=280913 Win=54784 Len=0 TSval=2325277385 TSecr=1376317187
220,2.343165,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=282361 Win=55296 Len=0 TSval=2325277409 TSecr=1376317211
222,2.355267,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=285257 Win=55296 Len=0 TSval=2325277421 TSecr=1376317235
224,2.380222,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=288153 Win=55296 Len=0 TSval=2325277446 TSecr=1376317259
227,2.405179,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=291049 Win=55296 Len=0 TSval=2325277471 TSecr=1376317284
229,2.428695,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=293945 Win=55296 Len=0 TSval=2325277494 TSecr=1376317308
231,2.45317,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=296841 Win=55296 Len=0 TSval=2325277519 TSecr=1376317332
233,2.477122,192.168.2.2,192.168.1.2,TCP,66,55296,5001  >  53142 [ACK] Seq=1 Ack=299737 Win=55296 Len=0 TSval=2325277543 TSecr=1376317344
235,2.502178,192.168.2.2,192.168.1.2,TCP,66,57344,5001  >  53142 [ACK] Seq=1 Ack=302633 Win=57344 Len=0 TSval=2325277568 TSecr=1376317369
239,2.525722,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=304081 Win=58368 Len=0 TSval=2325277591 TSecr=1376317369
241,2.538544,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=306977 Win=58368 Len=0 TSval=2325277604 TSecr=1376317394
243,2.561939,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=309873 Win=58368 Len=0 TSval=2325277627 TSecr=1376317417
245,2.586151,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=312769 Win=58368 Len=0 TSval=2325277652 TSecr=1376317442
247,2.610375,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=315665 Win=58368 Len=0 TSval=2325277676 TSecr=1376317466
249,2.634632,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=318561 Win=58368 Len=0 TSval=2325277700 TSecr=1376317491
251,2.671824,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=322905 Win=58368 Len=0 TSval=2325277737 TSecr=1376317514
254,2.7052,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=325801 Win=58368 Len=0 TSval=2325277771 TSecr=1376317551
256,2.719404,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=328697 Win=58368 Len=0 TSval=2325277785 TSecr=1376317575
258,2.755678,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=333041 Win=58368 Len=0 TSval=2325277821 TSecr=1376317599
260,2.780101,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=335937 Win=58368 Len=0 TSval=2325277846 TSecr=1376317660
262,2.804573,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=338833 Win=58368 Len=0 TSval=2325277870 TSecr=1376317660
264,2.82905,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=341729 Win=58368 Len=0 TSval=2325277894 TSecr=1376317694
267,2.852595,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=344625 Win=58368 Len=0 TSval=2325277918 TSecr=1376317708
269,2.877057,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=347521 Win=58368 Len=0 TSval=2325277942 TSecr=1376317744
271,2.901041,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=350417 Win=58368 Len=0 TSval=2325277966 TSecr=1376317769
273,2.926079,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=353313 Win=58368 Len=0 TSval=2325277991 TSecr=1376317793
275,2.949598,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=356209 Win=58368 Len=0 TSval=2325278015 TSecr=1376317817
277,2.98595,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=360553 Win=58368 Len=0 TSval=2325278051 TSecr=1376317817
279,3.010308,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=363449 Win=58368 Len=0 TSval=2325278076 TSecr=1376317865
283,3.034256,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=366345 Win=58368 Len=0 TSval=2325278100 TSecr=1376317889
285,3.058493,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=369241 Win=58368 Len=0 TSval=2325278124 TSecr=1376317914
287,3.082832,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=372137 Win=58368 Len=0 TSval=2325278148 TSecr=1376317938
289,3.106929,192.168.2.2,192.168.1.2,TCP,66,58368,5001  >  53142 [ACK] Seq=1 Ack=375033 Win=58368 Len=0 TSval=2325278172 TSecr=1376317974
