No.,Time,Source,Destination,Protocol,Length,Calculated window size,Info
151,7.347953,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=880385 Win=1307 Len=0 TSval=1140257248 TSecr=1525040738
153,7.588018,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=896313 Win=1307 Len=0 TSval=1140257488 TSecr=1525040980
155,7.721263,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=912241 Win=1307 Len=0 TSval=1140257621 TSecr=1525041114
158,7.855152,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=932513 Win=1307 Len=0 TSval=1140257755 TSecr=1525041247
161,8.024809,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=938305 Win=1307 Len=0 TSval=1140257924 TSecr=1525041416
163,8.073356,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=941201 Win=1307 Len=0 TSval=1140257973 TSecr=1525041465
165,8.097663,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=945545 Win=1307 Len=0 TSval=1140257997 TSecr=1525041489
167,8.133948,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=977401 Win=1307 Len=0 TSval=1140258033 TSecr=1525041658
169,8.400175,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1002017 Win=1307 Len=0 TSval=1140258299 TSecr=1525041792
171,8.606288,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1010705 Win=1307 Len=0 TSval=1140258505 TSecr=1525041998
174,8.679552,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1028081 Win=1307 Len=0 TSval=1140258579 TSecr=1525042204
176,8.82492,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1042561 Win=1307 Len=0 TSval=1140258724 TSecr=1525042217
178,8.946005,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1059937 Win=1307 Len=0 TSval=1140258845 TSecr=1525042337
181,9.091502,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1062833 Win=1307 Len=0 TSval=1140258990 TSecr=1525042482
183,9.115604,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1075865 Win=1307 Len=0 TSval=1140259014 TSecr=1525042510
185,9.224657,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1107721 Win=1307 Len=0 TSval=1140259123 TSecr=1525042750
187,9.491318,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1123649 Win=1307 Len=0 TSval=1140259390 TSecr=1525042883
189,9.62458,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1141025 Win=1307 Len=0 TSval=1140259523 TSecr=1525043017
192,9.770468,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1149713 Win=1307 Len=0 TSval=1140259669 TSecr=1525043186
194,9.843173,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1152609 Win=1307 Len=0 TSval=1140259742 TSecr=1525043235
196,9.867623,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1156953 Win=1307 Len=0 TSval=1140259766 TSecr=1525043259
198,9.903892,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1188809 Win=1307 Len=0 TSval=1140259802 TSecr=1525043295
201,10.170468,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1206185 Win=1307 Len=0 TSval=1140260069 TSecr=1525043561
202,10.315692,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1222113 Win=1307 Len=0 TSval=1140260214 TSecr=1525043767
203,10.448747,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1239489 Win=1307 Len=0 TSval=1140260347 TSecr=1525043841
204,10.594084,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1253969 Win=1307 Len=0 TSval=1140260492 TSecr=1525043986
205,10.715346,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1271345 Win=1307 Len=0 TSval=1140260613 TSecr=1525044107
207,10.861323,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1274241 Win=1307 Len=0 TSval=1140260759 TSecr=1525044252
208,10.885921,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1287273 Win=1307 Len=0 TSval=1140260784 TSecr=1525044276
209,10.994741,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1319129 Win=1307 Len=0 TSval=1140260893 TSecr=1525044385
211,11.260999,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1335057 Win=1307 Len=0 TSval=1140261159 TSecr=1525044652
212,11.394226,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1336505 Win=1307 Len=0 TSval=1140261292 TSecr=1525044785
213,11.406779,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1361121 Win=1307 Len=0 TSval=1140261304 TSecr=1525044931
214,11.612666,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1364017 Win=1307 Len=0 TSval=1140261510 TSecr=1525045004
215,11.637297,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1368361 Win=1307 Len=0 TSval=1140261535 TSecr=1525045028
216,11.673379,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1400217 Win=1307 Len=0 TSval=1140261571 TSecr=1525045064
222,11.940787,192.168.2.2,192.168.1.2,TCP,66,1307,5001  >  58166 [ACK] Seq=1 Ack=1401665 Win=1307 Len=0 TSval=1140261838 TSecr=1525046833
